date,amount,category,description
08-12-2024,75.0,Expence,Groceries
11-12-2024,45.0,Expence,Transportation
15-12-2024,500.0,Income,Year-end Bonus
19-12-2024,250.0,Expence,Gifts
23-12-2024,120.0,Expence,Travel
26-12-2024,60.0,Income,Gift Money
29-12-2024,95.0,Expence,Dining Out
01-01-2025,2000.0,Income,Salary
05-01-2025,80.25,Expence,Groceries
09-01-2025,135.0,Expence,Insurance
12-01-2025,50.0,Expence,Gas
15-01-2025,350.0,Income,Freelance
18-01-2025,65.0,Expence,Office Supplies
22-01-2025,85.0,Expence,Home Goods
25-01-2025,55.0,Expence,Entertainment
31-01-2025,40.0,Income,Cashback
01-02-2025,2000.0,Income,Salary
04-02-2025,90.50,Expence,Groceries
07-02-2025,150.0,Expence,Utilities
10-02-2025,60.0,Expence,Transportation
15-02-2025,320.0,Income,Side Project
19-02-2025,75.0,Expence,Clothing
23-02-2025,100.0,Expence,Healthcare
26-02-2025,45.0,Expence,Dining Out
28-02-2025,35.0,Income,Refund
01-03-2025,2050.0,Income,Salary
05-03-2025,85.25,Expence,Groceries
08-03-2025,140.0,Expence,Internet and Cable
11-03-2025,55.0,Expence,Gas
15-03-2025,380.0,Income,Freelance
18-03-2025,70.0,Expence,Restaurant
21-03-2025,95.0,Expence,Home Maintenance
25-03-2025,40.0,Expence,Entertainment
29-03-2025,65.0,Income,Sold Items
01-04-2025,2050.0,Income,Salary
04-04-2025,95.75,Expence,Groceries
07-04-2025,155.0,Expence,Insurance
10-04-2025,50.0,Expence,Transportation
15-04-2025,320.0,Income,Side Project
18-04-2025,75.0,Expence,Office Supplies
22-04-2025,110.0,Expence,Electronics
25-04-2025,65.0,Expence,Dining Out
30-04-2025,45.0,Income,Cashback
